"Date/Time","Lat","Lon","Base"
"5/1/2014 6:03:00",40.7753,-73.9901,"B02512"
"5/1/2014 6:07:00",40.7204,-74.0085,"B02512"
"5/1/2014 6:07:00",40.7175,-74.0022,"B02512"
"5/1/2014 6:07:00",40.7321,-73.9885,"B02512"
"5/1/2014 6:08:00",40.7273,-73.9922,"B02512"
"5/1/2014 6:10:00",40.7667,-73.9849,"B02512"
"5/1/2014 6:10:00",40.76,-74.0361,"B02512"
"5/1/2014 6:11:00",40.721,-74.0007,"B02512"
"5/1/2014 6:12:00",40.7463,-74.0302,"B02512"
"5/1/2014 6:12:00",40.7463,-74.0302,"B02512"
"5/1/2014 6:13:00",40.6934,-73.8286,"B02512"
"5/1/2014 6:14:00",40.7448,-73.9799,"B02512"
"5/1/2014 6:14:00",40.7744,-73.9456,"B02512"
"5/1/2014 6:16:00",40.6292,-73.8999,"B02512"
"5/1/2014 6:17:00",40.7766,-73.9809,"B02512"
"5/1/2014 6:17:00",40.7647,-73.9783,"B02512"
"5/1/2014 6:18:00",40.7724,-73.9533,"B02512"
"5/1/2014 6:19:00",40.7234,-73.9828,"B02512"
"5/1/2014 6:19:00",40.7643,-73.9959,"B02512"
"5/1/2014 6:21:00",40.7355,-74.0033,"B02512"
"5/1/2014 6:25:00",40.7783,-73.955,"B02512"
"5/1/2014 6:27:00",40.7356,-73.9925,"B02512"
"5/1/2014 6:29:00",40.7439,-73.9916,"B02512"
"5/1/2014 6:31:00",40.7644,-73.9656,"B02512"
"5/1/2014 6:35:00",40.7388,-74.0089,"B02512"
"5/1/2014 6:40:00",40.7239,-74.0368,"B02512"
"5/1/2014 6:42:00",40.7667,-73.971,"B02512"
"5/1/2014 6:43:00",40.7365,-73.997,"B02512"
"5/1/2014 6:44:00",40.7817,-73.949,"B02512"
"5/1/2014 6:44:00",40.7825,-73.9826,"B02512"
"5/1/2014 6:44:00",40.7431,-74.0369,"B02512"
"5/1/2014 6:46:00",40.7209,-74.0787,"B02512"
"5/1/2014 6:46:00",40.8,-73.9688,"B02512"
"5/1/2014 6:49:00",40.8551,-73.9311,"B02512"
"5/1/2014 6:51:00",40.7621,-73.9788,"B02512"
"5/1/2014 6:53:00",40.745,-74.0024,"B02512"
"5/1/2014 6:55:00",40.7586,-73.9892,"B02512"
"5/1/2014 6:55:00",40.7739,-73.9498,"B02512"
"5/1/2014 6:55:00",40.7842,-73.9484,"B02512"
"5/1/2014 6:57:00",40.7367,-73.9857,"B02512"
"5/1/2014 6:59:00",40.7093,-74.0055,"B02512"
"5/1/2014 7:00:00",40.7831,-73.9845,"B02512"
"5/1/2014 7:01:00",40.7067,-74.0162,"B02512"
"5/1/2014 7:01:00",40.8079,-73.9556,"B02512"
"5/1/2014 7:03:00",40.6781,-73.9979,"B02512"
"5/1/2014 7:03:00",40.6701,-73.9831,"B02512"
"5/1/2014 7:03:00",40.7712,-73.95,"B02512"
"5/1/2014 7:03:00",40.6912,-73.99,"B02512"
"5/1/2014 7:04:00",40.717,-74.033,"B02512"
"5/1/2014 7:05:00",40.7375,-74.0077,"B02512"
"5/1/2014 7:05:00",40.7739,-73.8715,"B02512"
"5/1/2014 7:06:00",40.7522,-73.9766,"B02512"
"5/1/2014 7:07:00",40.734,-74.0047,"B02512"
"5/1/2014 7:09:00",40.7887,-73.9775,"B02512"
"5/1/2014 7:10:00",40.786,-73.9529,"B02512"
"5/1/2014 7:12:00",40.7749,-73.9486,"B02512"
"5/1/2014 7:12:00",40.7612,-73.9988,"B02512"
"5/1/2014 7:13:00",40.6879,-73.9954,"B02512"
"5/1/2014 7:13:00",40.7688,-73.958,"B02512"
"5/1/2014 7:13:00",40.6782,-73.9759,"B02512"
"5/1/2014 7:15:00",40.7758,-73.9588,"B02512"
"5/1/2014 7:17:00",40.7731,-73.9545,"B02512"
"5/1/2014 7:17:00",40.7231,-73.991,"B02512"
"5/1/2014 7:17:00",40.7675,-73.9925,"B02512"
"5/1/2014 7:19:00",40.7739,-73.9615,"B02512"
"5/1/2014 7:19:00",40.7425,-74.039,"B02512"
"5/1/2014 7:19:00",40.7798,-73.9747,"B02512"
"5/1/2014 7:20:00",40.6461,-73.7768,"B02512"
"5/1/2014 7:21:00",40.7213,-73.9875,"B02512"
"5/1/2014 7:21:00",40.788,-73.9759,"B02512"
"5/1/2014 7:22:00",40.7752,-73.9629,"B02512"
"5/1/2014 7:25:00",40.762,-73.9936,"B02512"
"5/1/2014 7:25:00",40.762,-73.9936,"B02512"
"5/1/2014 7:26:00",40.7791,-73.9559,"B02512"
"5/1/2014 7:26:00",40.7344,-74.0062,"B02512"
"5/1/2014 7:26:00",40.7931,-73.9746,"B02512"
"5/1/2014 7:27:00",40.7716,-73.9827,"B02512"
"5/1/2014 7:27:00",40.7327,-73.9578,"B02512"
"5/1/2014 7:30:00",40.7855,-73.9504,"B02512"
"5/1/2014 7:30:00",40.7764,-73.9827,"B02512"
"5/1/2014 7:32:00",40.7512,-73.9852,"B02512"
"5/1/2014 7:32:00",40.787,-73.9692,"B02512"
"5/1/2014 7:35:00",40.6527,-73.9344,"B02512"
"5/1/2014 7:35:00",40.7812,-73.5583,"B02512"
"5/1/2014 7:35:00",40.7367,-73.9887,"B02512"
"5/1/2014 7:35:00",40.7777,-73.9749,"B02512"
"5/1/2014 7:35:00",40.7396,-73.9963,"B02512"
"5/1/2014 7:38:00",40.7369,-74.0032,"B02512"
"5/1/2014 7:38:00",40.749,-73.9399,"B02512"
"5/1/2014 7:38:00",40.7861,-73.9506,"B02512"
"5/1/2014 7:39:00",40.7119,-74.0061,"B02512"
"5/1/2014 7:40:00",40.7648,-73.9684,"B02512"
"5/1/2014 7:41:00",40.7633,-73.9778,"B02512"
"5/1/2014 7:41:00",40.7415,-73.9833,"B02512"
"5/1/2014 7:41:00",40.7639,-73.9789,"B02512"
"5/1/2014 7:44:00",40.726,-73.9918,"B02512"
"5/1/2014 7:44:00",40.7766,-73.9486,"B02512"
"5/1/2014 7:45:00",40.7686,-73.9579,"B02512"
"5/1/2014 7:46:00",40.7581,-73.9933,"B02512"
"5/1/2014 7:46:00",40.7576,-73.975,"B02512"
"5/1/2014 7:46:00",40.7806,-73.9542,"B02512"
"5/1/2014 7:46:00",40.7261,-73.9927,"B02512"
"5/1/2014 7:47:00",40.6444,-73.7834,"B02512"
"5/1/2014 7:48:00",40.7406,-73.9975,"B02512"
"5/1/2014 7:49:00",40.7586,-73.9934,"B02512"
"5/1/2014 7:50:00",40.7518,-73.9758,"B02512"
"5/1/2014 7:50:00",40.7364,-73.9944,"B02512"
"5/1/2014 7:51:00",40.7634,-73.9792,"B02512"
"5/1/2014 7:51:00",40.7735,-73.9791,"B02512"
"5/1/2014 7:52:00",40.7803,-73.9573,"B02512"
"5/1/2014 7:54:00",40.7899,-73.9523,"B02512"
"5/1/2014 7:54:00",40.688,-74.1829,"B02512"
"5/1/2014 7:55:00",40.7275,-73.9922,"B02512"
"5/1/2014 7:56:00",40.7605,-73.9868,"B02512"
"5/1/2014 7:56:00",40.7307,-73.9831,"B02512"
